,Unnamed: 0,name,genre_action,genre_adventure,genre_arcade,genre_board games,genre_card,genre_casual,genre_educational,genre_family,genre_fighting,genre_indie,genre_massively multiplayer,genre_platformer,genre_puzzle,genre_rpg,genre_racing,genre_shooter,genre_simulation,genre_sports,genre_strategy,tag_local multiplayer,tag_fantasy,tag_violent,tag_free to play,tag_anime,tag_online multiplayer,tag_great soundtrack,tag_split screen,tag_pixel graphics,tag_story rich,tag_vr,tag_co-op,tag_horror,tag_atmospheric,tag_early access,tag_partial controller support,tag_2d,tag_multiplayer,tag_full controller support,tag_steam cloud,tag_singleplayer,platform_3do,platform_atari,platform_commodore / amiga,platform_sega,platform_neo geo,platform_web,platform_linux,platform_android,platform_nintendo,platform_apple macintosh,platform_ios,platform_xbox,platform_playstation,platform_pc,background_image,esrb_rating.id,owners,price,total_reviews,review_score,released_month,1r,1g,1b,2r,2g,2b,3r,3g,3b,4r,4g,4b,5r,5g,5b
317,317,Zombie Driver HD,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://media.rawg.io/media/games/3d4/3d48e2f29341c31e69f80d107d0a1871.jpg,4,"200,000 .. 500,000",999,3398,0.831077104,10,29.28955954,23.34420881,16.21207178,214.2164634,197.6036585,139.8963415,129.962963,120.7305236,96.75223499,197.6206897,124.8472906,41.62068966,87.68207547,75.13867925,55.52358491
318,318,Tom Clancy's Splinter Cell Chaos Theory,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,https://media.rawg.io/media/games/83b/83b59a9d512bec8bc8bda6b539b215b2.jpg,4,"200,000 .. 500,000",999,3389,0.935084096,3,5.476830562,6.630350195,4.278740715,90.25925926,103.2839506,62.86419753,32.70862471,40.09090909,25.8018648,160.8761062,171.0884956,110.3539823,237.4347826,241.173913,177.4782609
319,319,Commandos 3: Destination Berlin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://media.rawg.io/media/screenshots/af9/af9224ee96fa286ab0a18a3916f0916e.jpg,3,"500,000 .. 1,000,000",499,919,0.630032644,10,53.03805497,52.49365751,42.44397463,107.5952813,104.0798548,90.54990926,27.69548387,27.77032258,21.80774194,139.55625,140.28125,140.55,81.57705479,78.7260274,62.1755137
320,320,The Walking Dead: A New Frontier,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,https://media.rawg.io/media/games/f0a/f0a65d7d9c4534f8f4897f9d161307ed.jpg,0,"500,000 .. 1,000,000",1499,12090,0.799917287,12,48.56081081,36.06672297,38.24155405,173.277512,106.3588517,71.01435407,14.47908979,11.76076261,14.98831488,165.257732,165.4948454,168.814433,96.35950413,68.07231405,61.1714876
321,321,"I Have No Mouth, and I Must Scream",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,https://media.rawg.io/media/games/0a3/0a3a4838159eaf02f7b3d9a805d516d3.jpg,0,"200,000 .. 500,000",599,1359,0.887417219,10,19.35587002,14.15356394,11.86163522,165.972973,143.6486486,118.7027027,57.22822086,27.1398773,18.31779141,104.9082569,68.58715596,43.74923547,42.21052632,54.98245614,51.64132554
322,322,Nosferatu: The Wrath of Malachi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://media.rawg.io/media/screenshots/559/559fb67a9c379630bbb821595e102bee_2EQC8gc.jpg,0,"200,000 .. 500,000",299,2603,0.868613139,3,131.3247173,119.7996769,86.65589661,25.52831941,15.86629526,20.2906221,187.9093656,161.9969789,112.9667674,58.01501155,43.01963048,53.97575058,91.5049505,77.02404526,74.93352192
323,323,Call of Duty,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,https://media.rawg.io/media/games/9c5/9c5bc0b6e67102bc96dcf1ba41509e42.jpg,3,"200,000 .. 500,000",1999,3583,0.945576333,10,11.42573662,11.26578473,11.73301263,124.376,107.7813333,100.864,37.95589857,35.7629548,40.43770673,73.90239411,67.70349908,70.30570902,185.6875,170.1875,152.3482143
324,324,Starpoint Gemini 2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,https://media.rawg.io/media/screenshots/95a/95a33413f84e474ada45f4c9ff2d5766.jpg,0,"500,000 .. 1,000,000",3499,3963,0.695937421,9,114.8108108,236.6602317,243.4247104,32.12512315,52.88669951,52.99014778,61.17827529,148.7014925,162.0447761,185.8218391,250.4683908,251.1264368,52.59196891,102.892487,107.6036269
325,325,Killer Instinct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,https://media.rawg.io/media/screenshots/48f/48fccb824104ff02029e855bbfdcbe45.jpg,3,"100,000 .. 200,000",3999,3283,0.918062747,11,4.947666195,10.72842999,11.427157,94.88918206,129.0369393,129.7968338,26.69817768,46.6594533,47.51138952,156.2380952,185.755102,187.7959184,56.76470588,84.48209719,84.78516624
326,326,Proteus,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,https://media.rawg.io/media/screenshots/0de/0de6cfe8744a8d5b08b448ff485f2101.jpg,2,"200,000 .. 500,000",999,2618,0.746371276,1,131.5906481,180.2986054,58.34208368,179.2835277,211.5845481,195.4759475,40.77595628,132.5191257,57.81693989,109.130719,107.6797386,60.31699346,132.8575668,161.8338279,110.7715134
327,327,Sonic Forces,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,https://media.rawg.io/media/games/0e9/0e9d75008321d640e4a14a8b5e322620.jpg,2,"200,000 .. 500,000",3999,5628,0.628109453,11,40.68190989,40.61197041,49.97041022,199.8632708,109.3458445,63.8847185,62.54934823,92.20111732,137.2867784,207.5406091,195.9974619,190.9365482,114.7639061,68.25710754,52.77255871
328,328,NightSky,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,https://media.rawg.io/media/screenshots/ea9/ea9036e881db5e334e10b2b61aecb29e.jpg,2,"200,000 .. 500,000",999,927,0.882416397,1,121.7446043,110.2607914,139.7607914,1.638638639,1.6001001,2.048548549,24.08510638,22.96099291,71.60283688,121.5708738,72.8038835,93.33203883,48.82329317,58.84738956,137.1726908
329,329,Dungeon Siege,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,https://media.rawg.io/media/screenshots/d79/d790c12a425f81fa079b973e5f8814d0.jpg,0,"500,000 .. 1,000,000",699,2948,0.796472185,4,155.9505618,206.2359551,84.68314607,93.65912519,113.8205128,61.11161388,47.42947368,58.13684211,37.66947368,127.7618596,158.6840607,72.46774194,196.9227799,249.2104247,104.523166
